epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1676.8,1.08025,0.83273,1.07548,0.99511,1,0.995,0.70226,0.88316,0.71703,1.00535,0.0011486,0.0011486,0.0011486
45,1704.63,0.95195,0.74207,1.01027,0.99474,1,0.995,0.68005,0.94185,0.68512,1.02179,0.0011288,0.0011288,0.0011288
46,1732.38,0.9598,0.73898,1.00245,0.99513,1,0.995,0.68621,0.91467,0.64551,1.00595,0.001109,0.001109,0.001109
47,1760.13,0.96558,0.73632,1.04324,0.99495,1,0.995,0.72824,0.93885,0.62438,1.03056,0.0010892,0.0010892,0.0010892
48,1787.97,1.18592,0.79631,1.24035,0.99383,1,0.995,0.70296,1.10554,0.65341,1.06448,0.0010694,0.0010694,0.0010694
49,1817.55,1.09989,0.7652,1.12738,0.99226,1,0.995,0.70621,1.07193,0.65293,1.06396,0.0010496,0.0010496,0.0010496
50,1848.12,0.98305,0.71201,1.03573,0.9671,0.92308,0.94096,0.71187,1.02606,0.68216,1.06602,0.0010298,0.0010298,0.0010298
51,1878.86,0.99919,0.71168,1.03104,0.99523,1,0.995,0.71989,1.10571,0.70828,1.10298,0.00101,0.00101,0.00101
52,1906.92,1.0134,0.74859,1.04307,0.99565,1,0.995,0.72304,1.0609,0.65487,1.09436,0.0009902,0.0009902,0.0009902
53,1935.12,0.97331,0.68729,1.02502,0.99588,1,0.995,0.74019,0.99712,0.62729,1.09801,0.0009704,0.0009704,0.0009704
54,1965.28,0.9156,0.67667,0.99233,0.99553,1,0.995,0.75464,0.91702,0.60726,1.05028,0.0009506,0.0009506,0.0009506
55,1993.25,0.90274,0.69385,0.98533,0.99497,1,0.995,0.75484,0.95606,0.63028,1.04376,0.0009308,0.0009308,0.0009308
56,2020.98,0.97859,0.7432,1.03048,0.9185,0.92308,0.94519,0.73246,1.05082,0.61042,1.10442,0.000911,0.000911,0.000911
57,2048.6,0.97095,0.69838,1.0109,0.99556,1,0.995,0.73518,1.0418,0.59026,1.10111,0.0008912,0.0008912,0.0008912
58,2076.03,0.80334,0.61575,0.94626,0.91892,0.92308,0.8923,0.69988,0.96233,0.57319,1.09082,0.0008714,0.0008714,0.0008714
59,2107.17,0.99103,0.65603,1.07313,0.99561,1,0.995,0.68503,0.97694,0.54881,1.09436,0.0008516,0.0008516,0.0008516
60,2135.47,0.92362,0.61161,1.00323,0.9957,1,0.995,0.70893,0.95661,0.52599,1.08507,0.0008318,0.0008318,0.0008318
61,2162.75,0.94668,0.6511,0.99589,0.91902,0.92308,0.89321,0.6976,0.97864,0.56181,1.08511,0.000812,0.000812,0.000812
62,2190.99,0.88811,0.60402,1.00801,0.91905,0.92308,0.89136,0.67303,1.05813,0.57068,1.10774,0.0007922,0.0007922,0.0007922
63,2218.48,1.00516,0.65606,1.02794,0.91912,0.92308,0.89592,0.6508,1.10732,0.57658,1.14038,0.0007724,0.0007724,0.0007724
64,2245.97,0.87731,0.73921,1.00686,0.99565,1,0.995,0.64905,1.19732,0.62887,1.17001,0.0007526,0.0007526,0.0007526
65,2273.94,0.95697,0.62352,1.03979,0.99567,1,0.995,0.63705,1.21502,0.61622,1.15109,0.0007328,0.0007328,0.0007328
66,2301.58,0.89363,0.62566,0.97116,0.9957,1,0.995,0.65563,1.2211,0.58772,1.145,0.000713,0.000713,0.000713
67,2329.07,0.77639,0.62859,0.99607,0.99565,1,0.995,0.66005,1.21721,0.60551,1.13741,0.0006932,0.0006932,0.0006932
68,2358.78,0.97246,0.63223,1.0361,0.99563,1,0.995,0.68466,1.12901,0.55189,1.07117,0.0006734,0.0006734,0.0006734
69,2386.49,0.95705,0.61257,1.03334,0.99579,1,0.995,0.69196,1.0989,0.5333,1.06775,0.0006536,0.0006536,0.0006536
70,2414.5,0.89479,0.59574,1.02289,0.99577,1,0.995,0.72551,1.05862,0.52634,1.06261,0.0006338,0.0006338,0.0006338
71,2442.43,1.02541,0.63839,1.11372,0.99583,1,0.995,0.71203,1.00167,0.51204,1.05024,0.000614,0.000614,0.000614
72,2470.1,1.02932,0.62618,1.06581,0.99565,1,0.995,0.71305,0.97572,0.47451,1.05238,0.0005942,0.0005942,0.0005942
73,2497.98,1.02225,0.60556,1.02417,0.99564,1,0.995,0.70841,1.00826,0.49318,1.03973,0.0005744,0.0005744,0.0005744
74,2529.53,0.8331,0.55998,0.97019,0.99571,1,0.995,0.71515,1.03974,0.51719,1.03604,0.0005546,0.0005546,0.0005546
75,2566.72,0.91997,0.58648,0.97651,0.99564,1,0.995,0.71976,1.03022,0.53349,1.03645,0.0005348,0.0005348,0.0005348
76,2594.79,0.80446,0.55294,0.99342,0.99539,1,0.995,0.71741,0.96253,0.56489,1.01775,0.000515,0.000515,0.000515
77,2625.99,0.9205,0.56668,1.05179,0.9955,1,0.995,0.72192,0.92568,0.57475,1.01439,0.0004952,0.0004952,0.0004952
78,2654.06,0.78549,0.55119,0.9292,0.9954,1,0.995,0.72425,0.93783,0.57529,1.01758,0.0004754,0.0004754,0.0004754
79,2681.97,0.97525,0.60484,1.10096,0.99556,1,0.995,0.72449,0.9484,0.57499,1.01919,0.0004556,0.0004556,0.0004556
80,2710.68,0.82724,0.55013,0.97663,0.9958,1,0.995,0.69843,0.98251,0.53341,1.0258,0.0004358,0.0004358,0.0004358
81,2738.7,0.86062,0.55597,0.97258,0.99582,1,0.995,0.70711,1.0484,0.54116,1.04218,0.000416,0.000416,0.000416
82,2766.19,0.83608,0.58145,0.96711,0.99582,1,0.995,0.67618,1.05989,0.53772,1.0535,0.0003962,0.0003962,0.0003962
83,2794.2,0.82489,0.53164,0.9286,0.99576,1,0.995,0.70306,1.00658,0.5086,1.05188,0.0003764,0.0003764,0.0003764
84,2822.45,0.77611,0.51853,0.97744,0.99586,1,0.995,0.69906,0.98706,0.51493,1.05246,0.0003566,0.0003566,0.0003566
85,2850.3,0.80641,0.56144,1.01248,0.99582,1,0.995,0.67989,1.02677,0.53417,1.05578,0.0003368,0.0003368,0.0003368
86,2878.36,0.81836,0.5291,0.97453,0.99593,1,0.995,0.68641,1.05881,0.52837,1.05577,0.000317,0.000317,0.000317
87,2906.26,0.7449,0.50862,0.93931,0.9959,1,0.995,0.68746,1.07682,0.52323,1.05808,0.0002972,0.0002972,0.0002972
88,2933.84,0.66022,0.48196,0.88248,0.99578,1,0.995,0.67113,1.04496,0.49369,1.05494,0.0002774,0.0002774,0.0002774
89,2961.89,0.85954,0.55616,0.99722,0.99591,1,0.995,0.65849,1.02781,0.49612,1.06074,0.0002576,0.0002576,0.0002576
90,2989.4,0.77364,0.5295,0.97013,0.99588,1,0.995,0.6858,1.01443,0.49096,1.05989,0.0002378,0.0002378,0.0002378
91,3017.41,0.81287,0.67142,0.93092,0.99599,1,0.995,0.70033,1.01636,0.49701,1.05862,0.000218,0.000218,0.000218
92,3045.19,0.65841,0.59396,0.91993,0.9959,1,0.995,0.67554,1.05103,0.50834,1.06096,0.0001982,0.0001982,0.0001982
93,3083.68,0.8342,0.63749,0.94506,0.99574,1,0.995,0.70103,1.07605,0.51265,1.06647,0.0001784,0.0001784,0.0001784
94,3110.16,0.81974,0.61737,1.10253,0.99561,1,0.995,0.69487,1.08552,0.52086,1.07066,0.0001586,0.0001586,0.0001586
95,3137.48,0.77227,0.60677,0.91491,0.99549,1,0.995,0.67346,1.0837,0.53149,1.07274,0.0001388,0.0001388,0.0001388
96,3164.7,0.83171,0.56888,0.95631,0.99526,1,0.995,0.68807,1.0516,0.54366,1.08673,0.000119,0.000119,0.000119
97,3191.73,0.64729,0.54898,0.8927,0.99525,1,0.995,0.68806,1.04334,0.54599,1.09144,9.92e-05,9.92e-05,9.92e-05
98,3219.29,0.7665,0.58231,0.96461,0.99527,1,0.995,0.69199,1.04746,0.54472,1.09162,7.94e-05,7.94e-05,7.94e-05
99,3246.45,0.67399,0.55203,0.91741,0.9952,1,0.995,0.69199,1.04927,0.54189,1.09058,5.96e-05,5.96e-05,5.96e-05
100,3273.97,0.57463,0.51159,0.87446,0.99524,1,0.995,0.67985,1.0629,0.54093,1.09083,3.98e-05,3.98e-05,3.98e-05
