epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,307.873,0.51405,0.41275,0.87491,0.99552,0.95,0.94935,0.86277,0.53728,0.36407,0.92421,0.0091684,0.0091684,0.0091684
44,315.047,0.51136,0.40012,0.86191,0.99674,0.95,0.97203,0.80527,0.57167,0.33533,0.90982,0.0091486,0.0091486,0.0091486
45,322.124,0.52166,0.40804,0.87583,0.99722,0.95,0.95185,0.80917,0.52086,0.34891,0.89743,0.0091288,0.0091288,0.0091288
46,329.101,0.49495,0.40013,0.86711,0.9965,0.95,0.98204,0.82235,0.52042,0.35485,0.90512,0.009109,0.009109,0.009109
47,336.294,0.51956,0.40158,0.87322,0.99683,0.95,0.95405,0.83365,0.54485,0.35269,0.92785,0.0090892,0.0090892,0.0090892
48,343.378,0.49565,0.40693,0.85351,1,0.99714,0.995,0.86147,0.51323,0.34257,0.90565,0.0090694,0.0090694,0.0090694
49,350.559,0.48072,0.38356,0.84564,0.99562,0.95,0.94781,0.82531,0.51427,0.35955,0.89382,0.0090496,0.0090496,0.0090496
50,357.521,0.49929,0.39528,0.86927,0.99696,0.95,0.95636,0.85627,0.51042,0.30665,0.90154,0.0090298,0.0090298,0.0090298
51,364.635,0.51047,0.39012,0.87281,0.99703,0.95,0.95094,0.83705,0.544,0.33402,0.92246,0.00901,0.00901,0.00901
52,371.624,0.49852,0.40352,0.8539,0.99651,0.95,0.95925,0.8718,0.53751,0.33111,0.91567,0.0089902,0.0089902,0.0089902
53,378.728,0.48038,0.38485,0.86204,0.99133,0.95,0.96113,0.84409,0.51734,0.34234,0.91862,0.0089704,0.0089704,0.0089704
54,385.863,0.48317,0.36897,0.84823,0.99681,0.95,0.95059,0.84687,0.50504,0.34153,0.90292,0.0089506,0.0089506,0.0089506
55,392.894,0.47704,0.37083,0.85255,0.99712,0.95,0.97278,0.83845,0.53292,0.34513,0.91957,0.0089308,0.0089308,0.0089308
56,400.045,0.47462,0.36985,0.85352,0.99714,0.95,0.964,0.8422,0.51085,0.33923,0.91304,0.008911,0.008911,0.008911
57,407.043,0.47427,0.36913,0.85698,0.99677,0.95,0.99262,0.87491,0.48276,0.31462,0.90104,0.0088912,0.0088912,0.0088912
58,414.179,0.47945,0.3624,0.85011,0.99643,0.95,0.985,0.8845,0.50093,0.31348,0.90069,0.0088714,0.0088714,0.0088714
59,421.421,0.46754,0.35547,0.85451,0.99678,0.95,0.99045,0.89909,0.48285,0.30491,0.89577,0.0088516,0.0088516,0.0088516
60,428.467,0.46514,0.35002,0.85117,1,0.99829,0.995,0.8795,0.46244,0.29717,0.89083,0.0088318,0.0088318,0.0088318
61,435.601,0.473,0.37002,0.86371,0.99566,0.95,0.98667,0.87372,0.50145,0.32468,0.90159,0.008812,0.008812,0.008812
62,442.74,0.45545,0.3749,0.84706,0.99334,0.95,0.99045,0.87156,0.46603,0.31437,0.91152,0.0087922,0.0087922,0.0087922
63,449.892,0.48098,0.37877,0.84605,1,0.99705,0.995,0.8797,0.43279,0.28317,0.9091,0.0087724,0.0087724,0.0087724
64,456.792,0.46779,0.3523,0.85385,0.99715,0.95,0.95004,0.85317,0.46584,0.29524,0.91835,0.0087526,0.0087526,0.0087526
65,463.872,0.46412,0.3587,0.8554,0.9958,0.95,0.99262,0.87218,0.44689,0.29804,0.89792,0.0087328,0.0087328,0.0087328
66,471.043,0.46824,0.35523,0.86068,0.99544,0.95,0.97064,0.88991,0.42671,0.3296,0.89496,0.008713,0.008713,0.008713
67,478.11,0.46644,0.36889,0.8567,1,0.94376,0.95826,0.88724,0.45326,0.33043,0.90272,0.0086932,0.0086932,0.0086932
68,485.207,0.45913,0.35411,0.8568,0.99689,0.95,0.98204,0.88683,0.43453,0.28829,0.88768,0.0086734,0.0086734,0.0086734
69,492.265,0.46318,0.35659,0.85122,0.99708,0.95,0.99262,0.91848,0.44718,0.30387,0.8885,0.0086536,0.0086536,0.0086536
70,499.27,0.46013,0.36064,0.85434,0.99722,0.95,0.99045,0.88238,0.4391,0.34465,0.9002,0.0086338,0.0086338,0.0086338
71,506.341,0.46198,0.35581,0.85717,0.99687,0.95,0.98204,0.86147,0.51297,0.32391,0.89957,0.008614,0.008614,0.008614
72,513.466,0.44347,0.3493,0.84187,0.99713,0.95,0.97064,0.89136,0.4532,0.32168,0.89922,0.0085942,0.0085942,0.0085942
73,520.484,0.45702,0.33949,0.85137,0.99615,0.95,0.95618,0.8871,0.42096,0.30466,0.89468,0.0085744,0.0085744,0.0085744
74,527.47,0.44715,0.35335,0.85193,0.99692,0.95,0.95281,0.87871,0.39313,0.29966,0.87631,0.0085546,0.0085546,0.0085546
75,534.585,0.43709,0.33749,0.84679,0.99609,0.95,0.95241,0.87733,0.43177,0.2987,0.89621,0.0085348,0.0085348,0.0085348
76,541.664,0.45866,0.3314,0.85748,0.9966,0.95,0.95782,0.85328,0.47998,0.30439,0.91395,0.008515,0.008515,0.008515
77,548.579,0.4607,0.34479,0.84807,0.99668,0.95,0.94901,0.85302,0.46422,0.32095,0.91265,0.0084952,0.0084952,0.0084952
78,555.717,0.44075,0.33475,0.84489,0.99686,0.95,0.99262,0.87978,0.42654,0.28361,0.8958,0.0084754,0.0084754,0.0084754
79,562.725,0.43214,0.32089,0.84108,0.99683,0.95,0.96875,0.89721,0.44058,0.3017,0.89488,0.0084556,0.0084556,0.0084556
80,569.879,0.45121,0.34315,0.84868,0.99549,0.95,0.99262,0.86147,0.48479,0.27874,0.91158,0.0084358,0.0084358,0.0084358
81,576.851,0.45335,0.34235,0.84629,0.99616,0.95,0.99262,0.86615,0.44462,0.27953,0.89339,0.008416,0.008416,0.008416
82,584.03,0.44643,0.33716,0.84939,0.99526,0.95,0.98346,0.86962,0.41811,0.27716,0.88628,0.0083962,0.0083962,0.0083962
83,591.031,0.44771,0.34458,0.85263,0.99398,0.95,0.99045,0.89809,0.45282,0.29118,0.90055,0.0083764,0.0083764,0.0083764
84,598.113,0.44022,0.33014,0.84346,0.9953,0.95,0.99262,0.88971,0.45322,0.3011,0.90181,0.0083566,0.0083566,0.0083566
85,604.996,0.46019,0.33194,0.85118,0.98866,0.95,0.95187,0.8921,0.41399,0.26237,0.89887,0.0083368,0.0083368,0.0083368
86,611.974,0.43333,0.32805,0.84511,0.98092,0.95,0.99045,0.89237,0.42335,0.28442,0.90167,0.008317,0.008317,0.008317
87,619.127,0.43945,0.33216,0.84509,0.99204,0.95,0.98204,0.86226,0.46242,0.30625,0.90396,0.0082972,0.0082972,0.0082972
88,626.241,0.44358,0.32783,0.84545,0.99487,0.95,0.96939,0.86393,0.46966,0.27417,0.91208,0.0082774,0.0082774,0.0082774
89,633.367,0.43368,0.32766,0.84822,0.9964,0.95,0.97,0.8701,0.50499,0.29678,0.92051,0.0082576,0.0082576,0.0082576
